timestamp,PIR,FOTORES,OCCUPIED?
2020-11-05 10:42:08.529219,0,1,0
2020-11-05 10:42:09.530557,0,1,0
2020-11-05 10:42:10.531897,0,1,0
2020-11-05 10:42:11.533271,0,1,0
2020-11-05 10:42:12.534607,0,1,0
2020-11-05 10:42:13.535935,0,1,0
2020-11-05 10:42:14.537259,0,1,0
2020-11-05 10:42:15.538620,0,1,0
2020-11-05 10:42:16.539956,0,1,0
2020-11-05 10:42:17.541330,0,1,0
2020-11-05 10:42:18.542662,0,1,0
2020-11-05 10:42:19.544026,0,1,0
2020-11-05 10:42:20.545370,0,1,0
2020-11-05 10:42:21.546707,0,1,0
2020-11-05 10:42:22.548039,0,1,0
2020-11-05 10:42:23.549367,0,1,0
2020-11-05 10:42:24.550693,0,1,0
2020-11-05 10:42:25.552008,0,1,0
2020-11-05 10:42:26.553303,0,1,0
2020-11-05 10:42:27.554637,0,1,0
2020-11-05 10:42:28.555970,0,1,0
2020-11-05 10:42:29.557303,0,1,0
2020-11-05 10:42:30.558669,0,1,0
2020-11-05 10:42:31.559991,0,1,0
2020-11-05 10:42:32.561373,0,1,0
2020-11-05 10:42:33.562711,0,1,0
2020-11-05 10:42:34.564041,0,1,0
2020-11-05 10:42:35.565405,0,1,0
2020-11-05 10:42:36.566735,0,1,0
2020-11-05 10:42:37.568067,0,1,0
2020-11-05 10:42:38.569403,0,1,0
2020-11-05 10:42:39.570735,0,1,0
2020-11-05 10:42:40.572071,0,1,0
2020-11-05 10:42:41.573415,0,1,0
2020-11-05 10:42:42.574753,0,1,0
2020-11-05 10:42:43.576085,0,1,0
2020-11-05 10:42:44.577421,0,1,0
2020-11-05 10:42:45.578757,0,1,0
2020-11-05 10:42:46.580090,0,1,0
2020-11-05 10:42:47.581487,0,1,0
2020-11-05 10:42:48.583288,0,1,0
2020-11-05 10:42:49.584631,0,1,0
2020-11-05 10:42:50.586003,0,1,0
2020-11-05 10:42:51.587336,0,1,0
2020-11-05 10:42:52.588695,0,1,0
2020-11-05 10:42:53.590055,0,1,0
2020-11-05 10:42:54.591478,0,1,0
2020-11-05 10:42:55.592838,0,1,0
2020-11-05 10:42:56.594163,0,1,0
2020-11-05 10:42:57.595527,0,1,0
2020-11-05 10:42:58.596856,0,1,0
2020-11-05 10:42:59.598206,0,1,0
2020-11-05 10:43:00.599542,0,1,0
2020-11-05 10:43:01.600876,0,1,0
2020-11-05 10:43:02.602198,0,1,0
2020-11-05 10:43:03.603528,0,1,0
2020-11-05 10:43:04.604852,0,1,0
2020-11-05 10:43:05.606185,0,1,0
2020-11-05 10:43:06.607514,0,1,0
2020-11-05 10:43:07.608849,0,1,0
2020-11-05 10:43:08.610185,0,1,0
2020-11-05 10:43:09.611518,0,1,0
2020-11-05 10:43:10.612857,0,1,0
2020-11-05 10:43:11.614186,0,1,0
2020-11-05 10:43:12.615546,0,1,0
2020-11-05 10:43:13.616868,0,1,0
2020-11-05 10:43:14.618189,0,1,0
2020-11-05 10:43:15.619514,0,1,0
2020-11-05 10:43:16.620846,0,1,0
2020-11-05 10:43:17.622179,0,1,0
2020-11-05 10:43:18.623509,0,1,0
2020-11-05 10:43:19.624833,0,1,0
2020-11-05 10:43:20.626201,0,1,0
2020-11-05 10:43:21.627530,0,1,0
2020-11-05 10:43:22.628904,0,1,0
2020-11-05 10:43:23.630235,0,1,0
2020-11-05 10:43:24.631566,0,1,0
2020-11-05 10:43:25.632872,0,1,0
2020-11-05 10:43:26.634212,0,1,0
2020-11-05 10:43:27.635544,0,1,0
2020-11-05 10:43:28.636878,0,1,0
2020-11-05 10:43:29.638201,0,1,0
2020-11-05 10:43:30.639535,0,1,0
2020-11-05 10:43:31.640872,0,1,0
2020-11-05 10:43:32.642201,0,1,0
2020-11-05 10:43:33.643523,0,1,0
2020-11-05 10:43:34.644849,0,1,0
2020-11-05 10:43:35.646181,0,1,0
2020-11-05 10:43:36.647505,0,1,0
2020-11-05 10:43:37.648837,0,1,0
2020-11-05 10:43:38.650211,0,1,0
2020-11-05 10:43:39.651540,0,1,0
2020-11-05 10:43:40.652877,0,1,0
2020-11-05 10:43:41.654214,0,1,0
2020-11-05 10:43:42.655549,0,1,0
2020-11-05 10:43:43.656877,0,1,0
2020-11-05 10:43:44.658201,0,1,0
2020-11-05 10:43:45.659528,0,1,0
2020-11-05 10:43:46.660870,0,1,0
2020-11-05 10:43:47.662228,0,1,0
2020-11-05 10:43:48.663577,0,1,0
2020-11-05 10:43:49.664911,0,1,0
2020-11-05 10:43:50.666249,0,1,0
2020-11-05 10:43:51.667579,0,1,0
2020-11-05 10:43:52.668909,0,1,0
2020-11-05 10:43:53.670274,0,1,0
2020-11-05 10:43:54.671598,0,1,0
2020-11-05 10:43:55.672918,0,1,0
2020-11-05 10:43:56.674281,0,1,0
2020-11-05 10:43:57.675643,0,1,0
2020-11-05 10:43:58.676970,0,1,0
2020-11-05 10:43:59.678332,0,1,0
2020-11-05 10:44:00.679700,0,1,0
2020-11-05 10:44:01.681036,0,1,0
2020-11-05 10:44:02.682397,0,1,0
2020-11-05 10:44:03.683736,0,1,0
2020-11-05 10:44:04.685102,0,1,0
2020-11-05 10:44:05.686432,0,1,0
2020-11-05 10:44:06.687759,0,1,0
2020-11-05 10:44:07.689125,0,1,0
2020-11-05 10:44:08.690496,0,1,0
2020-11-05 10:44:09.691828,0,1,0
2020-11-05 10:44:10.693167,0,1,0
2020-11-05 10:44:11.694504,0,1,0
2020-11-05 10:44:12.695833,0,1,0
2020-11-05 10:44:13.697192,0,1,0
2020-11-05 10:44:14.698555,0,1,0
2020-11-05 10:44:15.699914,0,1,0
2020-11-05 10:44:16.701294,0,1,0
2020-11-05 10:44:17.702651,0,1,0
2020-11-05 10:44:18.703967,0,1,0
2020-11-05 10:44:19.705293,0,1,0
2020-11-05 10:44:20.706662,0,1,0
2020-11-05 10:44:21.707984,0,1,0
